Namespace(aux=False, aux_weight=0.5, backbone='resnet50', base_size=768, batch_size=16, checkname='psp_resnet50_mhp', clip_grad=0, crop_size=768, ctx=[gpu(0), gpu(1), gpu(2), gpu(3), gpu(4), gpu(5), gpu(6), gpu(7)], dataset='mhp', dtype='float32', epochs=30, eval=False, kvstore='device', log_interval=1, logging_file='train.log', lr=0.0005, mode=None, model='psp', model_zoo=None, momentum=0.9, ngpus=8, no_cuda=False, no_val=False, no_wd=False, norm_kwargs={'num_devices': 8}, norm_layer=<class 'mxnet.gluon.contrib.nn.basic_layers.SyncBatchNorm'>, resume=None, save_dir='runs/mhp/psp/resnet50/', start_epoch=0, syncbn=True, test_batch_size=16, train_split='train', weight_decay=0.0001, workers=48)
Starting Epoch: 0
Total Epochs: 30
Epoch 0 iteration 0001/0187: training loss 1.007; learning rate 0.000500
Epoch 0 iteration 0002/0187: training loss 1.025; learning rate 0.000500
Epoch 0 iteration 0003/0187: training loss 0.998; learning rate 0.000500
Epoch 0 iteration 0004/0187: training loss 1.003; learning rate 0.000500
Epoch 0 iteration 0005/0187: training loss 0.997; learning rate 0.000500
Epoch 0 iteration 0006/0187: training loss 0.977; learning rate 0.000499
Epoch 0 iteration 0007/0187: training loss 0.953; learning rate 0.000499
Epoch 0 iteration 0008/0187: training loss 0.924; learning rate 0.000499
Epoch 0 iteration 0009/0187: training loss 0.928; learning rate 0.000499
Epoch 0 iteration 0010/0187: training loss 0.907; learning rate 0.000499
Epoch 0 iteration 0011/0187: training loss 0.896; learning rate 0.000499
Epoch 0 iteration 0012/0187: training loss 0.905; learning rate 0.000499
Epoch 0 iteration 0013/0187: training loss 0.905; learning rate 0.000499
Epoch 0 iteration 0014/0187: training loss 0.902; learning rate 0.000499
Epoch 0 iteration 0015/0187: training loss 0.890; learning rate 0.000499
Epoch 0 iteration 0016/0187: training loss 0.886; learning rate 0.000499
Epoch 0 iteration 0017/0187: training loss 0.866; learning rate 0.000499
