Namespace(aux=False, aux_weight=0.5, backbone='resnet50', base_size=768, batch_size=16, checkname='icnet_resnet50_mhp', clip_grad=0, crop_size=768, ctx=[gpu(0), gpu(1), gpu(2), gpu(3), gpu(4), gpu(5), gpu(6), gpu(7)], dataset='mhp', dtype='float32', epochs=30, eval=False, kvstore='device', log_interval=1, logging_file='train.log', lr=0.0005, mode=None, model='icnet', model_zoo=None, momentum=0.9, ngpus=8, no_cuda=False, no_val=False, no_wd=False, norm_kwargs={'num_devices': 8}, norm_layer=<class 'mxnet.gluon.contrib.nn.basic_layers.SyncBatchNorm'>, resume=None, save_dir='runs/mhp/icnet/resnet50/', start_epoch=0, syncbn=True, test_batch_size=16, train_split='train', weight_decay=0.0001, workers=48)
Starting Epoch: 0
Total Epochs: 30
Epoch 0 iteration 0001/0187: training loss 3.278; learning rate 0.000500
Epoch 0 iteration 0002/0187: training loss 3.176; learning rate 0.000500
Epoch 0 iteration 0003/0187: training loss 3.194; learning rate 0.000500
Epoch 0 iteration 0004/0187: training loss 2.927; learning rate 0.000500
Epoch 0 iteration 0005/0187: training loss 2.797; learning rate 0.000500
Epoch 0 iteration 0006/0187: training loss 2.735; learning rate 0.000499
Epoch 0 iteration 0007/0187: training loss 2.674; learning rate 0.000499
Epoch 0 iteration 0008/0187: training loss 2.688; learning rate 0.000499
Epoch 0 iteration 0009/0187: training loss 2.663; learning rate 0.000499
Epoch 0 iteration 0010/0187: training loss 2.653; learning rate 0.000499
Epoch 0 iteration 0011/0187: training loss 2.566; learning rate 0.000499
Epoch 0 iteration 0012/0187: training loss 2.540; learning rate 0.000499
Epoch 0 iteration 0013/0187: training loss 2.493; learning rate 0.000499
Epoch 0 iteration 0014/0187: training loss 2.491; learning rate 0.000499
Epoch 0 iteration 0015/0187: training loss 2.458; learning rate 0.000499
Epoch 0 iteration 0016/0187: training loss 2.413; learning rate 0.000499
Epoch 0 iteration 0017/0187: training loss 2.395; learning rate 0.000499
Epoch 0 iteration 0018/0187: training loss 2.358; learning rate 0.000498
Epoch 0 iteration 0019/0187: training loss 2.342; learning rate 0.000498
Epoch 0 iteration 0020/0187: training loss 2.367; learning rate 0.000498
Epoch 0 iteration 0021/0187: training loss 2.322; learning rate 0.000498
Epoch 0 iteration 0022/0187: training loss 2.280; learning rate 0.000498
Epoch 0 iteration 0023/0187: training loss 2.266; learning rate 0.000498
Epoch 0 iteration 0024/0187: training loss 2.260; learning rate 0.000498
Epoch 0 iteration 0025/0187: training loss 2.258; learning rate 0.000498
Epoch 0 iteration 0026/0187: training loss 2.241; learning rate 0.000498
Epoch 0 iteration 0027/0187: training loss 2.244; learning rate 0.000498
Epoch 0 iteration 0028/0187: training loss 2.254; learning rate 0.000498
Epoch 0 iteration 0029/0187: training loss 2.236; learning rate 0.000498
Epoch 0 iteration 0030/0187: training loss 2.223; learning rate 0.000498
Epoch 0 iteration 0031/0187: training loss 2.206; learning rate 0.000497
Epoch 0 iteration 0032/0187: training loss 2.195; learning rate 0.000497
Epoch 0 iteration 0033/0187: training loss 2.182; learning rate 0.000497
Epoch 0 iteration 0034/0187: training loss 2.152; learning rate 0.000497
Epoch 0 iteration 0035/0187: training loss 2.142; learning rate 0.000497
Epoch 0 iteration 0036/0187: training loss 2.124; learning rate 0.000497
Epoch 0 iteration 0037/0187: training loss 2.114; learning rate 0.000497
Epoch 0 iteration 0038/0187: training loss 2.106; learning rate 0.000497
Epoch 0 iteration 0039/0187: training loss 2.105; learning rate 0.000497
Epoch 0 iteration 0040/0187: training loss 2.084; learning rate 0.000497
Epoch 0 iteration 0041/0187: training loss 2.074; learning rate 0.000497
Epoch 0 iteration 0042/0187: training loss 2.073; learning rate 0.000497
Epoch 0 iteration 0043/0187: training loss 2.056; learning rate 0.000496
Epoch 0 iteration 0044/0187: training loss 2.072; learning rate 0.000496
Epoch 0 iteration 0045/0187: training loss 2.059; learning rate 0.000496
Epoch 0 iteration 0046/0187: training loss 2.054; learning rate 0.000496
Epoch 0 iteration 0047/0187: training loss 2.040; learning rate 0.000496
Epoch 0 iteration 0048/0187: training loss 2.044; learning rate 0.000496
Epoch 0 iteration 0049/0187: training loss 2.028; learning rate 0.000496
Epoch 0 iteration 0050/0187: training loss 2.029; learning rate 0.000496
Epoch 0 iteration 0051/0187: training loss 2.020; learning rate 0.000496
Epoch 0 iteration 0052/0187: training loss 2.020; learning rate 0.000496
Epoch 0 iteration 0053/0187: training loss 2.008; learning rate 0.000496
Epoch 0 iteration 0054/0187: training loss 1.998; learning rate 0.000496
Epoch 0 iteration 0055/0187: training loss 1.996; learning rate 0.000496
Epoch 0 iteration 0056/0187: training loss 1.979; learning rate 0.000495
Epoch 0 iteration 0057/0187: training loss 1.969; learning rate 0.000495
Epoch 0 iteration 0058/0187: training loss 1.962; learning rate 0.000495
Epoch 0 iteration 0059/0187: training loss 1.962; learning rate 0.000495
Epoch 0 iteration 0060/0187: training loss 1.952; learning rate 0.000495
Epoch 0 iteration 0061/0187: training loss 1.944; learning rate 0.000495
Epoch 0 iteration 0062/0187: training loss 1.936; learning rate 0.000495
Epoch 0 iteration 0063/0187: training loss 1.931; learning rate 0.000495
Epoch 0 iteration 0064/0187: training loss 1.916; learning rate 0.000495
Epoch 0 iteration 0065/0187: training loss 1.907; learning rate 0.000495
Epoch 0 iteration 0066/0187: training loss 1.899; learning rate 0.000495
Epoch 0 iteration 0067/0187: training loss 1.902; learning rate 0.000495
Epoch 0 iteration 0068/0187: training loss 1.891; learning rate 0.000494
Epoch 0 iteration 0069/0187: training loss 1.886; learning rate 0.000494
Epoch 0 iteration 0070/0187: training loss 1.880; learning rate 0.000494
Epoch 0 iteration 0071/0187: training loss 1.878; learning rate 0.000494
Epoch 0 iteration 0072/0187: training loss 1.868; learning rate 0.000494
Epoch 0 iteration 0073/0187: training loss 1.857; learning rate 0.000494
Epoch 0 iteration 0074/0187: training loss 1.848; learning rate 0.000494
Epoch 0 iteration 0075/0187: training loss 1.848; learning rate 0.000494
Epoch 0 iteration 0076/0187: training loss 1.844; learning rate 0.000494
Epoch 0 iteration 0077/0187: training loss 1.837; learning rate 0.000494
Epoch 0 iteration 0078/0187: training loss 1.825; learning rate 0.000494
Epoch 0 iteration 0079/0187: training loss 1.828; learning rate 0.000494
Epoch 0 iteration 0080/0187: training loss 1.823; learning rate 0.000493
Epoch 0 iteration 0081/0187: training loss 1.819; learning rate 0.000493
Epoch 0 iteration 0082/0187: training loss 1.815; learning rate 0.000493
Epoch 0 iteration 0083/0187: training loss 1.811; learning rate 0.000493
Epoch 0 iteration 0084/0187: training loss 1.807; learning rate 0.000493
Epoch 0 iteration 0085/0187: training loss 1.804; learning rate 0.000493
Epoch 0 iteration 0086/0187: training loss 1.799; learning rate 0.000493
Epoch 0 iteration 0087/0187: training loss 1.798; learning rate 0.000493
Epoch 0 iteration 0088/0187: training loss 1.788; learning rate 0.000493
Epoch 0 iteration 0089/0187: training loss 1.786; learning rate 0.000493
Epoch 0 iteration 0090/0187: training loss 1.782; learning rate 0.000493
Epoch 0 iteration 0091/0188: training loss 1.777; learning rate 0.000493
Epoch 0 iteration 0092/0188: training loss 1.769; learning rate 0.000493
Epoch 0 iteration 0093/0188: training loss 1.764; learning rate 0.000492
Epoch 0 iteration 0094/0188: training loss 1.758; learning rate 0.000492
Epoch 0 iteration 0095/0188: training loss 1.759; learning rate 0.000492
Epoch 0 iteration 0096/0188: training loss 1.751; learning rate 0.000492
Epoch 0 iteration 0097/0188: training loss 1.750; learning rate 0.000492
Epoch 0 iteration 0098/0188: training loss 1.749; learning rate 0.000492
Epoch 0 iteration 0099/0188: training loss 1.745; learning rate 0.000492
Epoch 0 iteration 0100/0188: training loss 1.739; learning rate 0.000492
